Organización,Departamento,Ciudad,Dirección Exacta,Teléfono / WhatsApp,Correo Electrónico,Causa / Área de Acción,Método Actual de Donación,Prioridad Comercial
Asociación Benéfica Gotita Roja,La Paz / Santa Cruz,La Paz / Santa Cruz,Cobertura nacional con sedes en La Paz y Santa Cruz,(+591) 77051111 / (+591) 77023811,gotitarojabolivia@hotmail.com,Pacientes con cáncer y quimioterapias,"QR estático, transferencias BMSC y comprobante por WhatsApp",Alta (Inmediata)
Fundación Arco Iris (Hospital Arco Iris),La Paz,La Paz,"Villa Fátima, Av. 15 de Abril Nº 40",(+591 2) 2216021 / 2217376 / 800 162626 / (+591) 77796811,fai.bolivia@gmail.com,Niñez en vulnerabilidad y salud asistencial,Cuentas corrientes Banco BISA (MN y ME),Alta (Inmediata)
REMAR Bolivia,La Paz,La Paz (Central),Red departamental y nacional de comedores y hogares,(+591 2) 2312106,remar@remarbolivia.com,"Comedores sociales, adicciones y acogida infantil",QR estático y cuenta corriente Banco Unión,Alta (Inmediata)
Amor Por Los Animales Bolivia (APLAB),La Paz,La Paz,"San Pedro, Calle Zoilo Flores esq. Almirante Grau",(+591) 62535868 / (+591 2) 2414687,info@aplabolivia.org,"Rescate, atención veterinaria y bienestar animal",Campañas en redes con QR estático y transferencias,Alta (Inmediata)
Juventud para Cristo Bolivia (Fundación Juventud sin Límites),La Paz,La Paz,"San Jorge, Av. Arce Nº 2993, Edif. Automóvil Club Boliviano Piso 2",(+591) 69922790,contacto@jpcbolivia.org,Formación y prevención de violencia en adolescentes,"QR estático, Banco Económico y formularios externos",Alta (Inmediata)
FUDEP (Fundación La Paz para el Desarrollo y la Participación),La Paz,La Paz,"Villa Copacabana, Av. Tito Yupanqui Nº 1205",(+591 2) 2235112 / (+591 2) 2234878,info@fudepbolivia.org,Desarrollo infantil comunitario y equidad de género,Financiamiento programático y transferencias directas,Media
Fundación Microjusticia Bolivia,La Paz,La Paz,"San Pedro, Av. 20 de Octubre Nº 1819 Of. 2",(+591 2) 2489973 / (+591) 76586949,Contacto institucional directo,Asesoría jurídica gratuita a sectores vulnerables,Convenios institucionales y donaciones manuales,Media
Banco de Alimentos de Bolivia (BAB),Cochabamba / La Paz,Cochabamba / La Paz,Sede central operativa en Cochabamba / distribución La Paz,Portal web bab.org.bo,info@bab.org.bo,Rescate alimentario y mitigación del hambre,Formulario web con generación de QR de pago único,Alta (Inmediata)
Fundación Social San Antonio (FSS),Cochabamba,Cochabamba,Av. América esq. Av. General Galindo Nº 1310,(+591 4) 4215892 / 4293543 / (+591) 72224867 / 72224869,fssbolivia@gmail.com,"Asistencia social, comedores e infancia en riesgo",Cuentas bancarias BNB y cobros por QR estático,Alta (Inmediata)
Fundación Villa Fe,Cochabamba,Cochabamba,"Queru Queru, Av. Aniceto Padilla Nº 436",(+591) 78319111,info@fundacionvillafe.org,Desarrollo comunitario y programas infantiles,Cuentas bancarias y código QR estático,Alta (Inmediata)
